,event_time,symbol,base_volume,close_price,first_trade_id,high_price,ignore,interval,is_closed,kline_close_time,kline_start_time,last_trade_id,low_price,number_of_trades,open_price,quote,taker_by_base_asset_volume,taker_by_quote_asset_volume
0,1634126222649,FTMUSDT,1282.00000000,2.03500000,False,2.03560000,0,1m,False,1634126279999,1634126220000,False,2.03480000,4,2.03500000,2608.87600000,12.00000000,24.42720000
0,1634126224873,FTMUSDT,1502.00000000,2.03500000,False,2.03560000,0,1m,False,1634126279999,1634126220000,False,2.03480000,6,2.03500000,3056.59600000,212.00000000,431.44720000
0,1634126285821,FTMUSDT,283.00000000,2.03250000,False,2.03260000,0,1m,False,1634126339999,1634126280000,False,2.03240000,7,2.03260000,575.20990000,141.00000000,286.58870000
0,1634126342303,FTMUSDT,910.00000000,2.03130000,False,2.03150000,0,1m,False,1634126399999,1634126340000,False,2.03130000,6,2.03130000,1848.52300000,656.00000000,1332.57280000
0,1634126344981,FTMUSDT,2527.00000000,2.03150000,False,2.03150000,0,1m,False,1634126399999,1634126340000,False,2.03130000,13,2.03130000,5133.26770000,2273.00000000,4617.31750000
0,1634126403153,FTMUSDT,3242.00000000,2.03850000,False,2.03890000,0,1m,False,1634126459999,1634126400000,False,2.03810000,9,2.03890000,6608.21290000,2248.00000000,4582.20620000
0,1634126462891,FTMUSDT,879.00000000,2.03680000,False,2.03680000,0,1m,False,1634126519999,1634126460000,False,2.03610000,11,2.03610000,1790.16350000,721.00000000,1468.41930000
0,1634126523588,FTMUSDT,54467.00000000,2.03450000,False,2.03570000,0,1m,False,1634126579999,1634126520000,False,2.03450000,65,2.03550000,110861.65880000,1537.00000000,3128.07730000
0,1634126582564,FTMUSDT,2321.00000000,2.03010000,False,2.03070000,0,1m,False,1634126639999,1634126580000,False,2.03010000,7,2.03030000,4712.91820000,1443.00000000,2930.30010000
0,1634126642928,FTMUSDT,1284.00000000,2.03620000,False,2.03620000,0,1m,False,1634126699999,1634126640000,False,2.03580000,5,2.03580000,2614.22830000,1208.00000000,2459.50750000
0,1634126704117,FTMUSDT,3759.00000000,2.03450000,False,2.03450000,0,1m,False,1634126759999,1634126700000,False,2.03270000,14,2.03270000,7643.25560000,1919.00000000,3901.50830000
0,1634126763306,FTMUSDT,1207.00000000,2.03450000,False,2.03450000,0,1m,False,1634126819999,1634126760000,False,2.03400000,6,2.03440000,2455.52080000,1007.00000000,2048.72080000
0,1634126822960,FTMUSDT,1644.00000000,2.03930000,False,2.03930000,0,1m,False,1634126879999,1634126820000,False,2.03920000,7,2.03920000,3352.48080000,1580.00000000,3221.96560000
0,1634126882633,FTMUSDT,4770.00000000,2.03930000,False,2.03990000,0,1m,False,1634126939999,1634126880000,False,2.03870000,15,2.03870000,9728.27870000,4681.00000000,9546.78100000
0,1634126944806,FTMUSDT,3234.00000000,2.04400000,False,2.04450000,0,1m,False,1634126999999,1634126940000,False,2.04340000,18,2.04340000,6609.30090000,3052.00000000,6237.29290000
0,1634127002186,FTMUSDT,7038.00000000,2.04510000,False,2.04540000,0,1m,False,1634127059999,1634127000000,False,2.04470000,20,2.04540000,14392.36940000,3488.00000000,7131.99920000
0,1634127062650,FTMUSDT,1422.00000000,2.05080000,False,2.05120000,0,1m,False,1634127119999,1634127060000,False,2.04980000,11,2.05120000,2916.41830000,1397.00000000,2865.17150000
0,1634127122283,FTMUSDT,979.00000000,2.04610000,False,2.04620000,0,1m,False,1634127179999,1634127120000,False,2.04570000,6,2.04610000,2003.03510000,681.00000000,1393.39480000
0,1634127183295,FTMUSDT,724.00000000,2.04400000,False,2.04400000,0,1m,False,1634127239999,1634127180000,False,2.04320000,5,2.04320000,1479.67110000,661.00000000,1350.90100000
0,1634127242345,FTMUSDT,5898.00000000,2.04120000,False,2.04190000,0,1m,False,1634127299999,1634127240000,False,2.04120000,30,2.04130000,12041.86170000,5803.00000000,11847.94770000
0,1634127302548,FTMUSDT,12086.00000000,2.04290000,False,2.04290000,0,1m,False,1634127359999,1634127300000,False,2.04160000,22,2.04170000,24682.18790000,11758.00000000,24012.45200000
0,1634127362499,FTMUSDT,515.00000000,2.04300000,False,2.04360000,0,1m,False,1634127419999,1634127360000,False,2.04300000,6,2.04360000,1052.20740000,450.00000000,919.40950000
0,1634127422258,FTMUSDT,210.00000000,2.03820000,False,2.03970000,0,1m,False,1634127479999,1634127420000,False,2.03820000,8,2.03970000,428.26780000,153.00000000,312.05680000
0,1634127483134,FTMUSDT,361.00000000,2.03650000,False,2.03650000,0,1m,False,1634127539999,1634127480000,False,2.03610000,4,2.03640000,735.07890000,146.00000000,297.31740000
0,1634127542491,FTMUSDT,5679.00000000,2.03680000,False,2.03750000,0,1m,False,1634127599999,1634127540000,False,2.03600000,16,2.03630000,11564.89790000,3774.00000000,7685.45600000
0,1634127544559,FTMUSDT,23391.00000000,2.03580000,False,2.03750000,0,1m,False,1634127599999,1634127540000,False,2.03580000,40,2.03630000,47627.13400000,17004.00000000,34621.62760000
0,1634127603128,FTMUSDT,863.00000000,2.03960000,False,2.03980000,0,1m,False,1634127659999,1634127600000,False,2.03940000,5,2.03980000,1760.04400000,37.00000000,75.46520000
0,1634127663600,FTMUSDT,47.00000000,2.03640000,False,2.03640000,0,1m,False,1634127719999,1634127660000,False,2.03640000,1,2.03640000,95.71080000,0.00000000,0.00000000
0,1634127723542,FTMUSDT,16302.00000000,2.03620000,False,2.03670000,0,1m,False,1634127779999,1634127720000,False,2.03530000,20,2.03530000,33194.88240000,16206.00000000,32999.47440000
0,1634127782370,FTMUSDT,2961.00000000,2.03190000,False,2.03220000,0,1m,False,1634127839999,1634127780000,False,2.03050000,14,2.03120000,6016.06850000,2786.00000000,5660.73100000
0,1634127843066,FTMUSDT,1701.00000000,2.03820000,False,2.03860000,0,1m,False,1634127899999,1634127840000,False,2.03770000,10,2.03830000,3467.03850000,238.00000000,485.12420000
0,1634127902204,FTMUSDT,971.00000000,2.03840000,False,2.03840000,0,1m,False,1634127959999,1634127900000,False,2.03820000,2,2.03820000,1979.26380000,0.00000000,0.00000000
0,1634127904317,FTMUSDT,6195.00000000,2.03860000,False,2.03860000,0,1m,False,1634127959999,1634127900000,False,2.03790000,13,2.03820000,12627.84390000,4829.00000000,9843.38940000
0,1634127962599,FTMUSDT,2973.00000000,2.03900000,False,2.03990000,0,1m,False,1634128019999,1634127960000,False,2.03900000,8,2.03990000,6062.84420000,0.00000000,0.00000000
0,1634128022473,FTMUSDT,246.00000000,2.03370000,False,2.03420000,0,1m,False,1634128079999,1634128020000,False,2.03370000,7,2.03420000,500.37280000,55.00000000,111.88100000
0,1634128024742,FTMUSDT,1565.00000000,2.03520000,False,2.03520000,0,1m,False,1634128079999,1634128020000,False,2.03330000,16,2.03420000,3183.24490000,1000.00000000,2034.21060000
0,1634128082614,FTMUSDT,2589.00000000,2.03440000,False,2.03490000,0,1m,False,1634128139999,1634128080000,False,2.03380000,6,2.03380000,5266.08940000,2099.00000000,4269.21280000
